Quarter,Trips
1998-01-01,427.8277995
1998-04-01,424.1919246
1998-07-01,449.5515081
1998-10-01,450.6995818
1999-01-01,412.358542
1999-04-01,354.5456139
1999-07-01,361.734784
1999-10-01,341.8413327
2000-01-01,433.5958921
2000-04-01,402.7470423
2000-07-01,409.3260291
2000-10-01,324.7613222
2001-01-01,455.7362993
2001-04-01,451.7493645
2001-07-01,397.8559348
2001-10-01,391.749707
2002-01-01,435.5092319
2002-04-01,374.4144026
2002-07-01,463.421135
2002-10-01,363.9586962
2003-01-01,441.905474
2003-04-01,413.3084333
2003-07-01,404.7842664
2003-10-01,395.2815615
2004-01-01,421.634462
2004-04-01,409.1016419
2004-07-01,423.0753251
2004-10-01,376.1389839
2005-01-01,455.7335766
2005-04-01,392.5334514
2005-07-01,428.2250445
2005-10-01,413.2752235
2006-01-01,634.468245
2006-04-01,501.927828
2006-07-01,373.032722
2006-10-01,505.38232
2007-01-01,438.0108603
2007-04-01,508.3947562
2007-07-01,513.2511688
2007-10-01,470.1438335
2008-01-01,613.1167943
2008-04-01,477.3790242
2008-07-01,583.1511326
2008-10-01,517.6662424
2009-01-01,465.7143059
2009-04-01,519.8176761
2009-07-01,541.0365177
2009-10-01,471.9418097
2010-01-01,602.3998486
2010-04-01,494.2426404
2010-07-01,559.9739953
2010-10-01,567.4593016
2011-01-01,597.6033275
2011-04-01,594.8467537
2011-07-01,582.8193689
2011-10-01,484.8996159
2012-01-01,599.4215831
2012-04-01,556.7274819
2012-07-01,592.4845769
2012-10-01,613.008284
2013-01-01,546.9895945
2013-04-01,594.7078854
2013-07-01,629.7198365
2013-10-01,551.1775901
2014-01-01,606.4125116
2014-04-01,598.3751812
2014-07-01,572.227242
2014-10-01,616.0968272
2015-01-01,735.4213106
2015-04-01,573.4142064
2015-07-01,571.4114752
2015-10-01,606.9740834
2016-01-01,747.3060511
2016-04-01,611.1261341
2016-07-01,662.5029595
2016-10-01,632.0378299
2017-01-01,634.1261913
2017-04-01,581.9617585
2017-07-01,621.5359481
2017-10-01,806.1614347