Dataset,Short-term,Medium-term,Long-term
AMZN Stock,"(10,9,6)","(3,4,3)","(7,5,1)"
GOOG Stock,"(3,4,3)","(7,8,7)","(2,2,1)"
MSFT Stock,"(1,6,10)","(4,3,1)","(5,5,4)"
Births,"(8,6,2)","(9,10,9)","(5,5,4)"
Colombia Dengue,"(6,5,3)","(6,5,2)","(1,2,1)"
Colombia Malaria ,"(3,6,7)","(2,3,2)","(1,5,8)"
Venezuela Dengue,"(9,8,6)","(1,2,1)","(7,9,10)"
Venezuela Malaria ,"(9,6,1)","(1,4,6)","(1,5,7)"
US-EPU Index,"(6,4,1)","(11,12,11)","(8,5,1)"
UK Unemployment,"(6,4,1)","(10,11,10)","(7,6,3)"
Canadian Gas,"(10,6,1)","(8,6,3)","(9,6,2)"
Russia Exchange,"(5,4,1)","(4,3,1)","(2,3,2)"
Arrivals,"(4,3,1)","(4,3,1)","(4,3,1)"
Tourism,"(5,4,2)","(4,4,3)","(5,4,3)"